model,model_image_url
Anatomy 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Anatomy_1.tgs
Rarity 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Rarity_2.tgs
Milky Cows 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Milky_Cows_1.tgs
Luxury 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Luxury_2.tgs
Purple Ribbon 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Purple_Ribbon_2.tgs
Foraged 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Foraged_2.tgs
Rose Gold 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Rose_Gold_1.tgs
Glimglam 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Glimglam_1.tgs
Lovestorm 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Lovestorm_1.tgs
Megabite 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Megabite_0.tgs
Unicorns 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Unicorns_1.tgs
Gryffindor 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Gryffindor_1.tgs
Iridescent 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Iridescent_2.tgs
Ribbons 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Ribbons_2.tgs
Teeth Crush 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Teeth_Crush_1.tgs
Sketchy 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Sketchy_1.tgs
Harlequin 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Harlequin_1.tgs
Ice Diamond 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Ice_Diamond_1.tgs
Berrific 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Berrific_0.tgs
Sine Wave 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Sine_Wave_1.tgs
Refraction 2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Refraction_2.tgs
Lemon Lime 1.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/models/Lemon_Lime_1.tgs
