name,image_url
Phoenix 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Phoenix_1.png
Hand of God 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Hand_of_God_1.png
Top Hat 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Top_Hat_0_8.png
Mountain Goat 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Mountain_Goat_1.png
Sakura 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Sakura_0_5.png
Lion Head 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Lion_Head_0_8.png
Coin Purse 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Coin_Purse_1.png
Sun Lion 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Sun_Lion_0_8.png
Sun Mountain 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Sun_Mountain_0_5.png
Scorpion 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Scorpion_0_8.png
Coat of Arms 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Coat_of_Arms_1.png
Scarab 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Scarab_0_8.png
Garden Pot 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Garden_Pot_0_2.png
Spanner 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Spanner_0_2.png
Diamond 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Diamond_1.png
Eikthyrnir 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Eikthyrnir_1.png
Bishop 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Bishop_0_5.png
Mafdet 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Mafdet_1.png
Mayan Moth 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Mayan_Moth_1.png
White Deer 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/White_Deer_0_8.png
Wolf Rage 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Wolf_Rage_1.png
Calm Wolf 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Calm_Wolf_1.png
Crusader 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Crusader_0_8.png
Leaf 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Leaf_0_2.png
Crystal Ball 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Crystal_Ball_0_2.png
Fenrir 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Fenrir_0_8.png
Sword 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Sword_0_2.png
Celtic Wolf 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Celtic_Wolf_1.png
High Heels 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/High_Heels_0_8.png
Apple 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Apple_0_2.png
Heart 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Heart_0_2.png
Piggy Bank 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Piggy_Bank_0_8.png
Coffee Bean 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Coffee_Bean_0_2.png
Sparks 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Sparks_1.png
Wreath 0.5%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Wreath_0_5.png
Car 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Car_0_8.png
Mask 1%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Mask_1.png
Shark Knife 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Shark_Knife_0_2.png
Hamburger 0.2%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Hamburger_0_2.png
Money Bag 0.8%,https://imperator-server.onrender.com/storage-proxy/gift_assets/symbols/Money_Bag_0_8.png
